x,y,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,STATION_NAME,ID,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DAY,SPEED_MAX_GUST,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND,LOCAL_MONTH,SPEED_MAX_GUST_FLAG
-80.41666666666667,43.65,,0,2016,2016-07-24 00:00:00,,,ELORA RCS,6142286.2016.7.24,,,28.2,21.2,24,0,14.2,6142286,,,,,,0,M,0,,,ON,,,M,3.2,,7,
-80.41666666666667,43.65,,0,2016,2016-07-25 00:00:00,,,ELORA RCS,6142286.2016.7.25,,,28.2,22.4,25,52,16.6,6142286,,,,,,27,M,36,,,ON,,,M,4.4,,7,
-80.41666666666667,43.65,,0,2016,2016-07-26 00:00:00,,,ELORA RCS,6142286.2016.7.26,,,27.2,20.8,26,33,14.4,6142286,,,,,,31,M,1,,,ON,,,M,2.8,,7,
-80.41666666666667,43.65,,0,2016,2016-07-27 00:00:00,,,ELORA RCS,6142286.2016.7.27,,,29.2,21.4,27,39,13.5,6142286,,,,,,26,M,2,,,ON,,,M,3.4,,7,
-80.41666666666667,43.65,,0,2016,2016-07-28 00:00:00,,,ELORA RCS,6142286.2016.7.28,,,27.8,22.4,28,0,16.9,6142286,,,M,,,0,M,,,,ON,,,M,4.4,,7,
-80.41666666666667,43.65,,0,2016,2016-07-29 00:00:00,,,ELORA RCS,6142286.2016.7.29,,,26,21.7,29,0,17.4,6142286,,,,,,0,M,0,,,ON,,,M,3.7,,7,
-80.41666666666667,43.65,,0,2016,2016-07-30 00:00:00,,,ELORA RCS,6142286.2016.7.30,,,25,20.1,30,32,15.1,6142286,,,,,,7,M,3.8,,,ON,,,M,2.1,,7,
-80.41666666666667,43.65,,0,2016,2016-07-31 00:00:00,,,ELORA RCS,6142286.2016.7.31,,,23.7,19.9,31,0,16.1,6142286,,,,,,0,M,0,,,ON,,,M,1.9,,7,
-80.41666666666667,43.65,,0,2016,2016-08-01 00:00:00,,,ELORA RCS,6142286.2016.8.1,,,26.9,21.3,1,0,15.6,6142286,,,,,,0,M,1.2,,,ON,,,M,3.3,,8,
-80.41666666666667,43.65,,0,2016,2016-08-02 00:00:00,,,ELORA RCS,6142286.2016.8.2,,,29.1,21.4,2,0,13.7,6142286,,,,,,0,M,0,,,ON,,,M,3.4,,8,
-80.41666666666667,43.65,,0,2016,2016-08-03 00:00:00,,,ELORA RCS,6142286.2016.8.3,,,29.1,21.2,3,0,13.3,6142286,,,,,,0,M,0,,,ON,,,M,3.2,,8,
-80.41666666666667,43.65,,0,2016,2016-08-04 00:00:00,,,ELORA RCS,6142286.2016.8.4,,,30.5,22.1,4,0,13.6,6142286,,,,,,0,M,0,,,ON,,,M,4.1,,8,
-80.41666666666667,43.65,,0,2016,2016-08-05 00:00:00,,,ELORA RCS,6142286.2016.8.5,,,30,23.9,5,46,17.7,6142286,,,,,,22,M,1,,,ON,,,M,5.9,,8,
-80.41666666666667,43.65,,0,2016,2016-08-06 00:00:00,,,ELORA RCS,6142286.2016.8.6,,,26.6,19.8,6,37,13,6142286,,,,,,30,M,0,,,ON,,,M,1.8,,8,
-80.41666666666667,43.65,,0,2016,2016-08-07 00:00:00,,,ELORA RCS,6142286.2016.8.7,,,25.9,18,7,33,10,6142286,,,,,,31,M,0.7,,,ON,,,M,0,,8,
-80.41666666666667,43.65,,0,2016,2016-08-08 00:00:00,,,ELORA RCS,6142286.2016.8.8,,,28,19.1,8,0,10.2,6142286,,,,,,0,M,1.1,,,ON,,,M,1.1,,8,
-80.41666666666667,43.65,,0,2016,2016-08-09 00:00:00,,,ELORA RCS,6142286.2016.8.9,,,29.4,20.4,9,0,11.3,6142286,,,,,,0,M,0.7,,,ON,,,M,2.4,,8,
-80.41666666666667,43.65,,0,2016,2016-08-10 00:00:00,,,ELORA RCS,6142286.2016.8.10,,,32,23.7,10,32,15.4,6142286,,,,,,29,M,0.8,,,ON,,,M,5.7,,8,
-80.41666666666667,43.65,,0,2016,2016-08-11 00:00:00,,,ELORA RCS,6142286.2016.8.11,,,31.2,23,11,52,14.7,6142286,,,,,,24,M,31.8,,,ON,,,M,5,,8,
-80.41666666666667,43.65,,,2016,2016-08-12 00:00:00,,,ELORA RCS,6142286.2016.8.12,M,M,,,12,37,21.6,6142286,M,,M,M,E,27,M,,,,ON,,,M,,,8,
-80.41666666666667,43.65,,0,2016,2016-08-13 00:00:00,,,ELORA RCS,6142286.2016.8.13,,,27.6,23.4,13,57,19.2,6142286,,,,,,22,M,27.8,,,ON,,,M,5.4,,8,
-80.41666666666667,43.65,,0,2016,2016-08-14 00:00:00,,,ELORA RCS,6142286.2016.8.14,,,24.8,20,14,33,15.2,6142286,,,,,,31,M,0,,,ON,,,M,2,,8,
-80.41666666666667,43.65,,0,2016,2016-08-15 00:00:00,,,ELORA RCS,6142286.2016.8.15,,,25.5,19.7,15,0,13.8,6142286,,,,,,0,M,0,,,ON,,,M,1.7,,8,
-80.41666666666667,43.65,,0,2016,2016-08-16 00:00:00,,,ELORA RCS,6142286.2016.8.16,,,24.8,19.8,16,65,14.8,6142286,,,,,,25,M,24.4,,,ON,,,M,1.8,,8,
-80.41666666666667,43.65,,,2016,2016-08-17 00:00:00,,,ELORA RCS,6142286.2016.8.17,E,M,26.3,,17,33,,6142286,M,,M,M,M,18,M,,,,ON,,,M,,,8,
-80.41666666666667,43.65,,0,2016,2016-08-18 00:00:00,,,ELORA RCS,6142286.2016.8.18,,,27.1,21.7,18,0,16.2,6142286,,,,,,0,M,0,,,ON,,,M,3.7,,8,
-80.41666666666667,43.65,,0,2016,2016-08-19 00:00:00,,,ELORA RCS,6142286.2016.8.19,,,27.3,20.4,19,32,13.5,6142286,,,,,,31,M,11.9,,,ON,,,M,2.4,,8,
